,attack_category
0,normal
1,normal
2,dos
3,normal
4,normal
5,dos
6,dos
7,dos
8,dos
9,dos
10,dos
11,dos
12,normal
13,r2l
14,dos
15,dos
16,normal
17,probe
18,normal
19,normal
20,dos
21,dos
22,normal
23,normal
24,dos
25,normal
26,dos
27,normal
28,normal
29,normal
30,probe
31,dos
32,normal
33,probe
34,normal
35,normal
36,normal
37,dos
38,normal
39,dos
40,dos
41,dos
42,normal
43,normal
44,normal
45,dos
46,dos
47,normal
48,r2l
49,dos
50,normal
51,dos
52,dos
53,normal
54,normal
55,normal
56,probe
57,dos
58,dos
59,normal
60,normal
61,dos
62,probe
63,normal
64,dos
65,normal
66,probe
67,dos
68,dos
69,dos
70,normal
71,dos
72,normal
73,normal
74,dos
75,normal
76,dos
77,normal
78,normal
79,dos
80,normal
81,dos
82,dos
83,probe
84,normal
85,dos
86,normal
87,dos
88,dos
89,normal
90,normal
91,normal
92,normal
93,dos
94,dos
95,normal
96,normal
97,normal
98,normal
99,dos
100,normal
101,normal
102,normal
103,normal
104,dos
105,normal
106,normal
107,normal
108,normal
109,normal
110,normal
111,normal
112,normal
113,normal
114,normal
115,probe
116,dos
117,normal
118,normal
119,normal
120,dos
121,dos
122,dos
123,normal
124,dos
125,normal
126,normal
127,normal
128,normal
129,normal
130,dos
131,dos
132,normal
133,normal
134,dos
135,dos
136,normal
137,normal
138,dos
139,dos
140,normal
141,dos
142,dos
143,normal
144,normal
145,normal
146,probe
147,normal
148,r2l
149,dos
150,dos
151,normal
152,dos
153,dos
154,dos
155,normal
156,normal
157,dos
158,probe
159,dos
160,normal
161,normal
162,normal
163,normal
164,dos
165,probe
166,normal
167,normal
168,normal
169,normal
170,dos
171,normal
172,dos
173,dos
174,dos
175,dos
176,normal
177,probe
178,probe
179,dos
180,normal
181,normal
182,normal
183,normal
184,dos
185,dos
186,dos
187,dos
188,normal
189,normal
190,r2l
191,normal
192,dos
193,dos
194,normal
195,normal
196,normal
197,normal
198,probe
199,normal
200,normal
201,dos
202,normal
203,normal
204,normal
205,normal
206,dos
207,normal
208,normal
209,dos
210,probe
211,dos
212,dos
213,normal
214,dos
215,dos
216,normal
217,normal
218,normal
219,normal
220,normal
221,dos
222,r2l
223,dos
224,probe
225,normal
226,normal
227,dos
228,normal
229,normal
230,normal
231,normal
232,normal
233,dos
234,normal
235,dos
236,dos
237,dos
238,normal
239,normal
240,normal
241,probe
242,dos
243,dos
244,dos
245,normal
246,dos
247,probe
248,dos
249,normal
250,probe
251,normal
252,normal
253,probe
254,probe
255,dos
256,normal
257,normal
258,probe
259,normal
260,dos
261,normal
262,normal
263,dos
264,normal
265,normal
266,normal
267,normal
268,probe
269,dos
270,normal
271,dos
272,normal
273,normal
274,normal
275,normal
276,dos
277,dos
278,normal
279,normal
280,normal
281,dos
282,normal
283,normal
284,dos
285,normal
286,dos
287,dos
288,normal
289,probe
290,normal
291,dos
292,dos
293,normal
294,normal
295,normal
296,normal
297,probe
298,normal
299,dos
300,normal
301,dos
302,dos
303,r2l
304,normal
305,probe
306,normal
307,normal
308,probe
309,normal
310,dos
311,normal
312,dos
313,dos
314,normal
315,dos
316,probe
317,probe
318,normal
319,dos
320,normal
321,dos
322,dos
323,dos
324,normal
325,dos
326,normal
327,normal
328,normal
329,normal
330,probe
331,probe
332,normal
333,normal
334,dos
335,normal
336,normal
337,normal
338,dos
339,dos
340,normal
341,dos
342,normal
343,normal
344,dos
345,normal
346,dos
347,normal
348,dos
349,probe
350,probe
351,normal
352,dos
353,normal
354,probe
355,normal
356,dos
357,normal
358,dos
359,normal
360,normal
361,normal
362,dos
363,normal
364,normal
365,probe
366,dos
367,normal
368,dos
369,dos
370,normal
371,normal
372,normal
373,dos
374,normal
375,dos
